image,root_label,wavelength_firstpeak_mm,wavelength_firstpeak_err_mm,wavelength_fit_mm,wavelength_fit_err_mm,fit_success,fit_rmse,peak_lag_index,n_theta_samples,main_length_mm
Col-0_20220630112924-0001_1.0AgarVertical.png,4,15.277777777777777,3.0298404326691593,14.911015576944848,0.49703003378382526,True,0.12890692992177777,22,88,78.98768809931632
Col-0_20220630112924-0001_1.0AgarVertical.png,5,13.88888888888889,3.060291877031954,14.216819161079924,0.3090614586933181,True,0.13084338538451956,20,87,78.26239825041637
Col-0_20220630112924-0001_1.5AgarTilted75.png,1,7.666666666666666,1.3709232708658743,7.191105733957526,0.11351286558169218,True,0.1442271817675017,23,184,69.84717408045682
Col-0_20220630112924-0001_1.5AgarTilted75.png,2,4.0,0.6218250988452386,4.079228482585193,0.1220558996644003,True,0.17446085890455432,12,186,70.42703820042827
Col-0_20220630112924-0001_1.5AgarTilted75.png,3,3.6666666666666665,0.9841921729899437,3.5056174094474044,0.15773199390877637,True,0.18530902441443062,11,158,61.08625838583701
Col-0_20220630112924-0001_1.5AgarTilted75.png,4,5.0,1.4731719434706543,4.915556122103065,0.05880586907745508,True,0.11767352377721778,15,171,65.49679229176975
Col-0_20220630112924-0001_1.5AgarTilted75.png,5,4.0,1.0197405840894769,3.6800763566203,0.16180972035100505,True,0.18722251676336962,12,131,52.155504422644334
Col-0_20220630112924-0001_1.5AgarVertical.png,1,4.225352112676056,0.704225352112676,4.229565556895758,0.994550306366211,True,0.3197687195888555,6,75,70.7202304329243
Col-0_20220630112924-0001_1.5AgarVertical.png,2,6.338028169014084,1.384161147800336,6.1198358401996416,0.18445423842981404,True,0.1603804717143702,9,66,64.24305298541165
Col-0_20220630112924-0001_1.5AgarVertical.png,3,11.267605633802816,2.0185239234739405,10.874561407557534,0.7205001365357961,True,0.16461663680745273,16,96,85.72103702874205
Col-0_20220630112924-0001_1.5AgarVertical.png,4,12.676056338028168,2.6590420638128536,10.707681844121769,0.4524474027696652,True,0.18256019246854605,18,96,85.22459245948244
Col-0_20220630112924-0001_1.5AgarVertical.png,5,12.676056338028168,2.8863206000232444,11.453276092556957,0.28776992638115273,True,0.14602758057471185,18,98,86.6341165183574
R0011536-1.png,1,4.0,0.3333333333333333,3.7548765584176773,0.29947055591571364,True,0.18057867841827915,12,99,41.5003847798329
R0011536-1.png,2,7.0,0.3333333333333333,5.805684068175238,0.39266443816126,True,0.17411131218690026,21,121,48.812779558293656
R0011536-1.png,3,3.6666666666666665,0.8446999498986353,3.5264681566266898,0.2193282685225654,True,0.18495134883994915,11,98,41.26222941514381
R0011536-1.png,4,4.333333333333333,0.3333333333333333,9.644312526592648,0.9685059105798758,True,0.20645106573747288,13,123,49.565232662587235
R0011536-1.png,5,6.0,0.9096447257128917,5.581280308777498,0.17778647663084057,True,0.15088932930940718,18,123,49.545520659861445
R0011536-1.png,6,4.666666666666666,1.0190332896570888,4.41587182558632,0.36336887342381685,True,0.20035451908715832,14,131,52.15376981596339
R0011536-1.png,7,6.333333333333333,1.257555170029006,6.22064953151881,0.11491900164905154,True,0.15583692205912875,19,125,50.02509015952303
R0011536-1.png,8,5.0,1.2342352379891683,4.4062460113087445,0.1339280070003254,True,0.16844910456231937,15,114,46.4634138786749
R0011536-1.png,9,4.333333333333333,0.9007426485545258,4.585231535961795,0.7857577062562138,True,0.13561607483220842,13,37,20.749071059308896
R0011536-1.png,10,7.333333333333333,1.1251512504849857,6.941601021691804,0.32124242083567756,True,0.20417356786025526,22,131,52.16489595366168
R0011536-1.png,11,6.666666666666666,1.379151599156561,6.6156779505184256,0.2600163562102233,True,0.21977544054305384,20,117,47.64835555284209
R0011537.png,1,5.0,1.227131072757714,4.8030366485685,0.2359775734273833,True,0.19792795178409775,15,105,43.40030060260151
R0011537.png,2,4.666666666666666,1.961517273253786,8.035453857229712,0.8130982253867738,True,0.19995116317402645,14,100,41.671239157474076
R0011537.png,3,5.333333333333333,1.0631516859664276,4.8932088876394255,0.060590213780971375,True,0.10471359498252811,16,90,38.4611712174598
R0011537.png,4,9.666666666666666,1.1968293248720816,8.166666666666664,38.18005629462685,True,0.2867138833128023,29,43,22.670433491484236
R0011537.png,5,7.333333333333333,1.4469444362158286,6.9454158069646255,0.36623263724250926,True,0.16440399924292862,22,108,44.5307148657228
R0011537.png,6,2.0,0.4522459948934143,2.058783481895621,0.6284998482090808,True,0.23345263244093573,6,72,32.42073110293991
R0011537.png,7,4.666666666666666,0.9176768272620637,5.29572787250633,0.373041498798331,True,0.17325222682461036,14,100,41.703514293123405
R0011537.png,8,6.333333333333333,1.2187397957216892,6.518669522565474,0.09686773070367385,True,0.10150612608311173,19,103,42.77356599592057
R0011542.png,1,4.333333333333333,2.24562440104022,4.079708277042048,0.11220379460235945,True,0.14701880992652228,13,157,60.851782677588275
R0011542.png,2,3.0,0.7037536644659639,3.0373537252419185,0.05177824739940276,True,0.13012988309313606,9,160,61.93388945877482
R0011542.png,3,4.333333333333333,0.3333333333333333,4.25304460729738,0.21883794522036407,True,0.18526698433999828,13,171,65.47014186232019
R0011542.png,4,3.6666666666666665,0.7509106833907346,3.3781257119890467,0.1664729482779428,True,0.13101578224101137,11,193,72.94950091890331
R0011542.png,5,19.666666666666664,0.3333333333333333,15.507370396621194,1.2749262299683182,True,0.1613218027343271,59,231,85.65466265033044
